"","Area_Name","Area_Code","Area_Type","Sex","Age_group","Age_band_type","Year","Population","Data_type","Annual_change","Percentage"
"1","Adur","E07000223","District","Female","0-4 years","5 years","2001",1553,"Estimates - ONS",0,0.0496658031916595
"2","Adur","E07000223","District","Female","10-14 years","5 years","2001",1826,"Estimates - ONS",0,0.0583964949310819
"3","Adur","E07000223","District","Female","15-19 years","5 years","2001",1526,"Estimates - ONS",0,0.0488023281844638
"4","Adur","E07000223","District","Female","20-24 years","5 years","2001",1227,"Estimates - ONS",0,0.0392401419936678
"5","Adur","E07000223","District","Female","25-29 years","5 years","2001",1572,"Estimates - ONS",0,0.0502734337522786
"6","Adur","E07000223","District","Female","30-34 years","5 years","2001",2021,"Estimates - ONS",0,0.0646327033163836
"7","Adur","E07000223","District","Female","35-39 years","5 years","2001",2202,"Estimates - ONS",0,0.0704211839201765
"8","Adur","E07000223","District","Female","40-44 years","5 years","2001",1980,"Estimates - ONS",0,0.0633215005276792
"9","Adur","E07000223","District","Female","45-49 years","5 years","2001",1860,"Estimates - ONS",0,0.0594838338290319
"10","Adur","E07000223","District","Female","5-9 years","5 years","2001",1802,"Estimates - ONS",0,0.0576289615913525
"11","Adur","E07000223","District","Female","50-54 years","5 years","2001",2210,"Estimates - ONS",0,0.070677028366753
"12","Adur","E07000223","District","Female","55-59 years","5 years","2001",2009,"Estimates - ONS",0,0.0642489366465189
"13","Adur","E07000223","District","Female","60-64 years","5 years","2001",1773,"Estimates - ONS",0,0.0567015254725127
"14","Adur","E07000223","District","Female","65-69 years","5 years","2001",1660,"Estimates - ONS",0,0.0530877226646199
"15","Adur","E07000223","District","Female","70-74 years","5 years","2001",1791,"Estimates - ONS",0,0.0572771754773098
"16","Adur","E07000223","District","Female","75-79 years","5 years","2001",1630,"Estimates - ONS",0,0.0521283059899581
"17","Adur","E07000223","District","Female","80-84 years","5 years","2001",1265,"Estimates - ONS",0,0.0404554031149061
"18","Adur","E07000223","District","Female","85-89 years","5 years","2001",853,"Estimates - ONS",0,0.0272794141162173
"19","Adur","E07000223","District","Female","90+ years","5 years","2001",509,"Estimates - ONS",0,0.0162781029134286
"20","Adur","E07000223","District","Male","0-4 years","5 years","2001",1665,"Estimates - ONS",0,0.0585340130075584
"21","Adur","E07000223","District","Male","10-14 years","5 years","2001",1944,"Estimates - ONS",0,0.0683424151872034
"22","Adur","E07000223","District","Male","15-19 years","5 years","2001",1882,"Estimates - ONS",0,0.0661627702583934
"23","Adur","E07000223","District","Male","20-24 years","5 years","2001",1334,"Estimates - ONS",0,0.0468975215327826
"24","Adur","E07000223","District","Male","25-29 years","5 years","2001",1420,"Estimates - ONS",0,0.0499208999824222
"25","Adur","E07000223","District","Male","30-34 years","5 years","2001",1790,"Estimates - ONS",0,0.0629284584285463
"26","Adur","E07000223","District","Male","35-39 years","5 years","2001",2180,"Estimates - ONS",0,0.0766391281420285
"27","Adur","E07000223","District","Male","40-44 years","5 years","2001",1918,"Estimates - ONS",0,0.0674283705396379
"28","Adur","E07000223","District","Male","45-49 years","5 years","2001",1797,"Estimates - ONS",0,0.0631745473721216
"29","Adur","E07000223","District","Male","5-9 years","5 years","2001",1812,"Estimates - ONS",0,0.0637018808226402
"30","Adur","E07000223","District","Male","50-54 years","5 years","2001",2029,"Estimates - ONS",0,0.0713306380734751
"31","Adur","E07000223","District","Male","55-59 years","5 years","2001",1914,"Estimates - ONS",0,0.0672877482861663
"32","Adur","E07000223","District","Male","60-64 years","5 years","2001",1538,"Estimates - ONS",0,0.0540692564598348
"33","Adur","E07000223","District","Male","65-69 years","5 years","2001",1453,"Estimates - ONS",0,0.051081033573563
"34","Adur","E07000223","District","Male","70-74 years","5 years","2001",1352,"Estimates - ONS",0,0.0475303216734048
"35","Adur","E07000223","District","Male","75-79 years","5 years","2001",1151,"Estimates - ONS",0,0.0404640534364563
"36","Adur","E07000223","District","Male","80-84 years","5 years","2001",750,"Estimates - ONS",0,0.0263666725259272
"37","Adur","E07000223","District","Male","85-89 years","5 years","2001",369,"Estimates - ONS",0,0.0129724028827562
"38","Adur","E07000223","District","Male","90+ years","5 years","2001",147,"Estimates - ONS",0,0.00516786781508174
"39","Arun","E07000224","District","Female","0-4 years","5 years","2001",3417,"Estimates - ONS",0,0.0457785161169315
"40","Arun","E07000224","District","Female","10-14 years","5 years","2001",3893,"Estimates - ONS",0,0.0521556228396881
"41","Arun","E07000224","District","Female","15-19 years","5 years","2001",3371,"Estimates - ONS",0,0.0451622410975054
"42","Arun","E07000224","District","Female","20-24 years","5 years","2001",3082,"Estimates - ONS",0,0.041290426301546
"43","Arun","E07000224","District","Female","25-29 years","5 years","2001",3324,"Estimates - ONS",0,0.0445325687950484
"44","Arun","E07000224","District","Female","30-34 years","5 years","2001",4302,"Estimates - ONS",0,0.0576351115993676
"45","Arun","E07000224","District","Female","35-39 years","5 years","2001",4932,"Estimates - ONS",0,0.0660753999088985
"46","Arun","E07000224","District","Female","40-44 years","5 years","2001",4498,"Estimates - ONS",0,0.0602609790734439
"47","Arun","E07000224","District","Female","45-49 years","5 years","2001",4239,"Estimates - ONS",0,0.0567910827684146
"48","Arun","E07000224","District","Female","5-9 years","5 years","2001",3632,"Estimates - ONS",0,0.0486589319685968
"49","Arun","E07000224","District","Female","50-54 years","5 years","2001",5036,"Estimates - ONS",0,0.0674687173441226
"50","Arun","E07000224","District","Female","55-59 years","5 years","2001",4687,"Estimates - ONS",0,0.0627930655663032
"51","Arun","E07000224","District","Female","60-64 years","5 years","2001",4372,"Estimates - ONS",0,0.0585729214115377
"52","Arun","E07000224","District","Female","65-69 years","5 years","2001",4505,"Estimates - ONS",0,0.0603547600546609
"53","Arun","E07000224","District","Female","70-74 years","5 years","2001",4761,"Estimates - ONS",0,0.0637844645105972
"54","Arun","E07000224","District","Female","75-79 years","5 years","2001",4586,"Estimates - ONS",0,0.061439939980172
"55","Arun","E07000224","District","Female","80-84 years","5 years","2001",3801,"Estimates - ONS",0,0.050923072800836
"56","Arun","E07000224","District","Female","85-89 years","5 years","2001",2632,"Estimates - ONS",0,0.0352616489375955
"57","Arun","E07000224","District","Female","90+ years","5 years","2001",1572,"Estimates - ONS",0,0.0210605289247341
"58","Arun","E07000224","District","Male","0-4 years","5 years","2001",3528,"Estimates - ONS",0,0.0531677617698475
"59","Arun","E07000224","District","Male","10-14 years","5 years","2001",4194,"Estimates - ONS",0,0.0632045331243595
"60","Arun","E07000224","District","Male","15-19 years","5 years","2001",3582,"Estimates - ONS",0,0.053981554041835
"61","Arun","E07000224","District","Male","20-24 years","5 years","2001",3039,"Estimates - ONS",0,0.0457984206401833
"62","Arun","E07000224","District","Male","25-29 years","5 years","2001",3162,"Estimates - ONS",0,0.0476520585930436
"63","Arun","E07000224","District","Male","30-34 years","5 years","2001",3973,"Estimates - ONS",0,0.0598740129001145
"64","Arun","E07000224","District","Male","35-39 years","5 years","2001",4785,"Estimates - ONS",0,0.0721110374344445
"65","Arun","E07000224","District","Male","40-44 years","5 years","2001",4258,"Estimates - ONS",0,0.0641690276689372
"66","Arun","E07000224","District","Male","45-49 years","5 years","2001",4132,"Estimates - ONS",0,0.0622701790342998
"67","Arun","E07000224","District","Male","5-9 years","5 years","2001",3976,"Estimates - ONS",0,0.0599192235818916
"68","Arun","E07000224","District","Male","50-54 years","5 years","2001",4683,"Estimates - ONS",0,0.0705738742540238
"69","Arun","E07000224","District","Male","55-59 years","5 years","2001",4412,"Estimates - ONS",0,0.0664898426668274
"70","Arun","E07000224","District","Male","60-64 years","5 years","2001",3941,"Estimates - ONS",0,0.0593917656278257
"71","Arun","E07000224","District","Male","65-69 years","5 years","2001",3865,"Estimates - ONS",0,0.0582464283561396
"72","Arun","E07000224","District","Male","70-74 years","5 years","2001",3750,"Estimates - ONS",0,0.0565133522213515
"73","Arun","E07000224","District","Male","75-79 years","5 years","2001",3204,"Estimates - ONS",0,0.0482850081379227
"74","Arun","E07000224","District","Male","80-84 years","5 years","2001",2163,"Estimates - ONS",0,0.0325969015612755
"75","Arun","E07000224","District","Male","85-89 years","5 years","2001",1205,"Estimates - ONS",0,0.0181596238471276
"76","Arun","E07000224","District","Male","90+ years","5 years","2001",504,"Estimates - ONS",0,0.00759539453854964
"77","Chichester","E07000225","District","Female","0-4 years","5 years","2001",2568,"Estimates - ONS",0,0.0457240532022862
"78","Chichester","E07000225","District","Female","10-14 years","5 years","2001",3217,"Estimates - ONS",0,0.0572797037195307
"79","Chichester","E07000225","District","Female","15-19 years","5 years","2001",2897,"Estimates - ONS",0,0.0515820023859124
"80","Chichester","E07000225","District","Female","20-24 years","5 years","2001",2583,"Estimates - ONS",0,0.0459911329522996
"81","Chichester","E07000225","District","Female","25-29 years","5 years","2001",2412,"Estimates - ONS",0,0.0429464238021473
"82","Chichester","E07000225","District","Female","30-34 years","5 years","2001",3136,"Estimates - ONS",0,0.0558374730694585
"83","Chichester","E07000225","District","Female","35-39 years","5 years","2001",3716,"Estimates - ONS",0,0.0661645567366416
"84","Chichester","E07000225","District","Female","40-44 years","5 years","2001",3685,"Estimates - ONS",0,0.0656125919199473
"85","Chichester","E07000225","District","Female","45-49 years","5 years","2001",3482,"Estimates - ONS",0,0.0619981126364332
"86","Chichester","E07000225","District","Female","5-9 years","5 years","2001",2875,"Estimates - ONS",0,0.0511902854192262
"87","Chichester","E07000225","District","Female","50-54 years","5 years","2001",4110,"Estimates - ONS",0,0.073179851503659
"88","Chichester","E07000225","District","Female","55-59 years","5 years","2001",3801,"Estimates - ONS",0,0.0676780086533839
"89","Chichester","E07000225","District","Female","60-64 years","5 years","2001",3290,"Estimates - ONS",0,0.0585794918362623
"90","Chichester","E07000225","District","Female","65-69 years","5 years","2001",3351,"Estimates - ONS",0,0.0596656161529833
